"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Hack Squat (Machine)",,"105 starting weight, never dome this maxhine before",0,"normal",105,8,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Hack Squat (Machine)",,"105 starting weight, never dome this maxhine before",1,"normal",195,10,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Hack Squat (Machine)",,"105 starting weight, never dome this maxhine before",2,"normal",215,12,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Leg Extension (Machine)",,"",0,"normal",100,12,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Leg Extension (Machine)",,"",1,"normal",100,12,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Leg Extension (Machine)",,"",2,"normal",140,12,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Leg Extension (Machine)",,"",3,"normal",145,10,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Seated Leg Curl (Machine)",,"",0,"normal",110,10,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Seated Leg Curl (Machine)",,"",1,"normal",160,12,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Seated Leg Curl (Machine)",,"",2,"normal",180,9,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Standing Calf Raise (Machine)",,"",0,"normal",180,15,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Standing Calf Raise (Machine)",,"",1,"normal",180,15,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Standing Calf Raise (Machine)",,"",2,"normal",230,15,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Hip Abduction (Machine)",,"",0,"normal",110,15,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Hip Abduction (Machine)",,"",1,"normal",130,20,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Hip Abduction (Machine)",,"",2,"normal",150,15,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Hip Adduction (Machine)",,"",0,"normal",125,20,,,
"Afternoon workout 💪","12 Sep 2026, 15:52","12 Sep 2026, 16:46","","Hip Adduction (Machine)",,"",1,"normal",180,12,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Incline Bench Press (Dumbbell)",,"",0,"normal",80,10,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Incline Bench Press (Dumbbell)",,"",1,"normal",90,6,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Incline Bench Press (Dumbbell)",,"",2,"normal",120,8,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Incline Bench Press (Dumbbell)",,"",3,"normal",100,10,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Shoulder Press (Dumbbell)",,"Higher weight next tkme since i hit 70x10x3",0,"normal",70,10,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Shoulder Press (Dumbbell)",,"Higher weight next tkme since i hit 70x10x3",1,"normal",70,10,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Shoulder Press (Dumbbell)",,"Higher weight next tkme since i hit 70x10x3",2,"normal",70,10,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Triceps Dip",,"",0,"normal",,6,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Triceps Dip (Assisted)",,"",0,"dropset",30,8,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Triceps Dip (Assisted)",,"",1,"normal",30,9,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Triceps Rope Pushdown",,"Differnt cable machine today",0,"normal",50,10,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Triceps Rope Pushdown",,"Differnt cable machine today",1,"normal",70,9,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Triceps Rope Pushdown",,"Differnt cable machine today",2,"normal",70,6,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Triceps Rope Pushdown",,"Differnt cable machine today",3,"dropset",60,5,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Lateral Raise (Dumbbell)",,"Bilateral",0,"normal",24,15,,,
"Morning workout ☀️","10 Sep 2026, 04:52","10 Sep 2026, 05:50","","Lateral Raise (Dumbbell)",,"Bilateral",1,"normal",24,15,,,
